stage,scale,case_id,purpose,priority,est_hours,dPsi_V,c_KOH_wt,T_K,size_nm,n_atoms_est,j_Am2,v_ms,theta_deg,mesh_um,closure,status
S-A,MD,MD-5-T298-dPsi0.50-R5,OFAT arm: temperature effect on theta | LOW PRIORITY OFAT arm - truncatable without losing P1.,6,72,0.50,30,298,R=5nm,~120k,,,,,,pending
S-A,MD,MD-5-T353-dPsi0.0-R5,OFAT arm: temperature effect on theta | LOW PRIORITY OFAT arm - truncatable without losing P1.,6,72,0.0,30,353,R=5nm,~120k,,,,,,pending
S-A,MD,MD-5-T353-dPsi0.50-R5,OFAT arm: temperature effect on theta | LOW PRIORITY OFAT arm - truncatable without losing P1.,6,72,0.50,30,353,R=5nm,~120k,,,,,,pending
S-B,VOF,VOF-000-scriven,VERIFICATION: diffusion-driven growth vs Scriven/Epstein-Plesset R=2*beta*sqrt(t). GATES the campaign.,0,2,,,,,,n/a,0,90,2,,pending
S-B,VOF,VOF-001-mesh4um,"Mesh independence, Richardson extrapolation, GCI",1,6,,,,,,2000,0.05,90,4,,pending
S-B,VOF,VOF-001-mesh2um,"Mesh independence, Richardson extrapolation, GCI",1,6,,,,,,2000,0.05,90,2,,pending
S-B,VOF,VOF-001-mesh1um,"Mesh independence, Richardson extrapolation, GCI",1,6,,,,,,2000,0.05,90,1,,pending
S-B,VOF,VOF-1-j100-th30-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,100,0.05,30,2,,pending
S-B,VOF,VOF-1-j100-th60-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,100,0.05,60,2,,pending
S-B,VOF,VOF-1-j100-th90-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,100,0.05,90,2,,pending
S-B,VOF,VOF-1-j100-th120-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,100,0.05,120,2,,pending
S-B,VOF,VOF-1-j100-th150-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,100,0.05,150,2,,pending
S-B,VOF,VOF-1-j500-th30-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,500,0.05,30,2,,pending
S-B,VOF,VOF-1-j500-th60-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,500,0.05,60,2,,pending
S-B,VOF,VOF-1-j500-th90-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,500,0.05,90,2,,pending
S-B,VOF,VOF-1-j500-th120-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,500,0.05,120,2,,pending
S-B,VOF,VOF-1-j500-th150-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,500,0.05,150,2,,pending
S-B,VOF,VOF-1-j1000-th30-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,1000,0.05,30,2,,pending
S-B,VOF,VOF-1-j1000-th60-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,1000,0.05,60,2,,pending
S-B,VOF,VOF-1-j1000-th90-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,1000,0.05,90,2,,pending
S-B,VOF,VOF-1-j1000-th120-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,1000,0.05,120,2,,pending
S-B,VOF,VOF-1-j1000-th150-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,1000,0.05,150,2,,pending
S-B,VOF,VOF-1-j2000-th30-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,2000,0.05,30,2,,pending
S-B,VOF,VOF-1-j2000-th60-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,2000,0.05,60,2,,pending
S-B,VOF,VOF-1-j2000-th90-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,2000,0.05,90,2,,pending
S-B,VOF,VOF-1-j2000-th120-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,2000,0.05,120,2,,pending
S-B,VOF,VOF-1-j2000-th150-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,2000,0.05,150,2,,pending
S-B,VOF,VOF-1-j5000-th30-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,5000,0.05,30,2,,pending
S-B,VOF,VOF-1-j5000-th60-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,5000,0.05,60,2,,pending
S-B,VOF,VOF-1-j5000-th90-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,5000,0.05,90,2,,pending
S-B,VOF,VOF-1-j5000-th120-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,5000,0.05,120,2,,pending
S-B,VOF,VOF-1-j5000-th150-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,5000,0.05,150,2,,pending
S-B,VOF,VOF-1-j10000-th30-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,10000,0.05,30,2,,pending
S-B,VOF,VOF-1-j10000-th60-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,10000,0.05,60,2,,pending
S-B,VOF,VOF-1-j10000-th90-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,10000,0.05,90,2,,pending
S-B,VOF,VOF-1-j10000-th120-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,10000,0.05,120,2,,pending
S-B,VOF,VOF-1-j10000-th150-v0.05,"Coverage campaign: Theta(j,theta) at reference velocity",2,1.5,,,,,,10000,0.05,150,2,,pending
S-B,VOF,VOF-2-j100-th90-v0,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,100,0,90,2,,pending
S-B,VOF,VOF-2-j100-th90-v0.1,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,100,0.1,90,2,,pending
S-B,VOF,VOF-2-j100-th90-v0.2,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,100,0.2,90,2,,pending
S-B,VOF,VOF-2-j500-th90-v0,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,500,0,90,2,,pending
S-B,VOF,VOF-2-j500-th90-v0.1,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,500,0.1,90,2,,pending
S-B,VOF,VOF-2-j500-th90-v0.2,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,500,0.2,90,2,,pending
S-B,VOF,VOF-2-j1000-th90-v0,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,1000,0,90,2,,pending
S-B,VOF,VOF-2-j1000-th90-v0.1,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,1000,0.1,90,2,,pending
S-B,VOF,VOF-2-j1000-th90-v0.2,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,1000,0.2,90,2,,pending
S-B,VOF,VOF-2-j2000-th90-v0,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,2000,0,90,2,,pending
S-B,VOF,VOF-2-j2000-th90-v0.1,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,2000,0.1,90,2,,pending
S-B,VOF,VOF-2-j2000-th90-v0.2,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,2000,0.2,90,2,,pending
S-B,VOF,VOF-2-j5000-th90-v0,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,5000,0,90,2,,pending
S-B,VOF,VOF-2-j5000-th90-v0.1,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,5000,0.1,90,2,,pending
S-B,VOF,VOF-2-j5000-th90-v0.2,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,5000,0.2,90,2,,pending
S-B,VOF,VOF-2-j10000-th90-v0,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,10000,0,90,2,,pending
S-B,VOF,VOF-2-j10000-th90-v0.1,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,10000,0.1,90,2,,pending
S-B,VOF,VOF-2-j10000-th90-v0.2,Coverage campaign: velocity arm at theta=90,3,1.5,,,,,,10000,0.2,90,2,,pending
S-B,VOF3D,VOF3D-j2000-v0.05-th60,"3D confirmation, SINGLE corner, run to FIRST DEPARTURE only (~1-2 ms not 10 ms) to test whether axisymmetry changes the coverage conclusion. Coarsened to 4um.",5,72,,,,,,2000,0.05,60,4,,pending
S-B,VOF3D,VOF3D-j10000-v0.05-th60,3D confirmation that axisymmetry does not change the coverage conclusion (coarsened to 4um) | DEFERRED at Phase 1: 3 x 360 h = 1080 h is 92% of the S-B budget for 3 cases.,9,360,,,,,,10000,0.05,60,4,,deferred
S-B,VOF3D,VOF3D-j2000-v0.2-th120,3D confirmation that axisymmetry does not change the coverage conclusion (coarsened to 4um) | DEFERRED at Phase 1: 3 x 360 h = 1080 h is 92% of the S-B budget for 3 cases.,9,360,,,,,,2000,0.2,120,4,,deferred
S-C,CELL,CELL-001-mesh-coarse,Cell mesh independence,1,4,,,,,,2000,,,coarse,vogt,pending
S-C,CELL,CELL-001-mesh-medium,Cell mesh independence,1,4,,,,,,2000,,,medium,vogt,pending
S-C,CELL,CELL-001-mesh-fine,Cell mesh independence,1,4,,,,,,2000,,,fine,vogt,pending
S-C,CELL,CELL-1-j100-vogt,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,100,,,medium,vogt,pending
S-C,CELL,CELL-1-j100-T12,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,100,,,medium,T12,pending
S-C,CELL,CELL-1-j500-vogt,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,500,,,medium,vogt,pending
S-C,CELL,CELL-1-j500-T12,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,500,,,medium,T12,pending
S-C,CELL,CELL-1-j1000-vogt,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,1000,,,medium,vogt,pending
S-C,CELL,CELL-1-j1000-T12,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,1000,,,medium,T12,pending
S-C,CELL,CELL-1-j2000-vogt,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,2000,,,medium,vogt,pending
S-C,CELL,CELL-1-j2000-T12,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,2000,,,medium,T12,pending
S-C,CELL,CELL-1-j5000-vogt,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,5000,,,medium,vogt,pending
S-C,CELL,CELL-1-j5000-T12,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,5000,,,medium,T12,pending
S-C,CELL,CELL-1-j10000-vogt,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,10000,,,medium,vogt,pending
S-C,CELL,CELL-1-j10000-T12,Polarisation curve: legacy Vogt closure vs derived T12 closure. HEADLINE RESULT = deltaV_cell(j).,2,3,,,,,,10000,,,medium,T12,pending
S-C,CELL,CELL-2-riegel-legacy,Riegel gas-fraction reproduction - LEGACY COMPARABILITY ONLY (Faraday caveat in caption),4,8,,,,,,3250;6250,,,medium,both,pending
